Year,Month,Item A,Item B,Item C
2022,November,151,204,500
2022,December,192,161,500
2023,January,114,165,192
2023,February,171,188,162
2023,March,160,179,117
2023,April,120,206,189
2023,May,182,181,143
2023,June,186,171,133
2023,July,174,229,173
2023,August,174,195,161
2023,September,187,201,199
2023,October,199,171,113
2023,November,123,189,500
2023,December,102,202,500
2024,January,121,176,114
2024,February,152,207,171
2024,March,101,187,177
2024,April,187,194,186
2024,May,129,187,161
2024,June,137,237,139
2024,July,101,199,184
2024,August,163,178,179
2024,September,159,216,181
2024,October,120,175,152
2024,November,132,204,500